class,test_class,model,run,eo_test_count,package,eo_line_coverage_score,eo_mutation_coverage_score,eo_test_strength_score,eo_line_coverage,eo_mutation_coverage,eo_test_strength,mvn_pit_command,mvn_pit_status
NodeInstaller,NodeInstaller_ESTest_run_03_identical_5_wizlm_12415444670_EOTest,wizlm,run_03,2,com.github.eirslett.maven.plugins.frontend.lib,35,36,91,63/181,21/58,21/23,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NodeInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NodeInstaller_ESTest_run_03_identical_5_wizlm_1086429646_EOTest,com.github.eirslett.maven.plugins.frontend.lib.NodeInstaller_ESTest_run_03_identical_5_wizlm_12415444670_EOTest",True
NPMInstaller,NPMInstaller_ESTest_run_01_identical_5_ocra_1026840330_EOTest,ocra,run_01,1,com.github.eirslett.maven.plugins.frontend.lib,6,0,100,7/114,0/44,0/0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_01_identical_5_ocra_1026840330_EOTest,True
NPMInstaller,NPMInstaller_ESTest_run_01_identical_5_ocra_1026840330_EOTest,ocra,run_02,0,com.github.eirslett.maven.plugins.frontend.lib,0,0,0,0,0,0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_01_identical_5_ocra_1026840330_EOTest,False
NPMInstaller,NPMInstaller_ESTest_run_01_identical_5_ocra_1026840330_EOTest,ocra,run_03,0,com.github.eirslett.maven.plugins.frontend.lib,0,0,0,0,0,0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_01_identical_5_ocra_1026840330_EOTest,False
NPMInstaller,NPMInstaller_ESTest_run_01_identical_5_mpt_1022178023_EOTest,mpt,run_01,1,com.github.eirslett.maven.plugins.frontend.lib,6,0,100,7/114,0/44,0/0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_01_identical_5_mpt_1022178023_EOTest,True
NPMInstaller,NPMInstaller_ESTest_run_02_identical_5_mpt_10213140466_EOTest,mpt,run_02,1,com.github.eirslett.maven.plugins.frontend.lib,6,0,100,7/114,0/44,0/0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_02_identical_5_mpt_10213140466_EOTest,True
NPMInstaller,NPMInstaller_ESTest_run_03_identical_5_mpt_10213918873_EOTest,mpt,run_03,1,com.github.eirslett.maven.plugins.frontend.lib,6,0,100,7/114,0/44,0/0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_03_identical_5_mpt_10213918873_EOTest,True
NPMInstaller,NPMInstaller_ESTest_run_03_identical_5_mpt_10213918873_EOTest,nous,run_01,0,com.github.eirslett.maven.plugins.frontend.lib,0,0,0,0,0,0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_03_identical_5_mpt_10213918873_EOTest,False
NPMInstaller,NPMInstaller_ESTest_run_02_identical_5_nous_9510405588_EOTest,nous,run_02,1,com.github.eirslett.maven.plugins.frontend.lib,13,9,100,15/114,4/44,4/4,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_02_identical_5_nous_9510405588_EOTest,True
NPMInstaller,NPMInstaller_ESTest_run_03_identical_5_nous_1066049107_EOTest,nous,run_03,1,com.github.eirslett.maven.plugins.frontend.lib,45,27,57,51/114,12/44,12/21,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_03_identical_5_nous_1066049107_EOTest,True
NPMInstaller,NPMInstaller_ESTest_run_01_identical_5_vicuna_1026873077_EOTest,vicuna,run_01,1,com.github.eirslett.maven.plugins.frontend.lib,6,0,100,7/114,0/44,0/0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_01_identical_5_vicuna_1026873077_EOTest,True
NPMInstaller,NPMInstaller_ESTest_run_02_identical_5_vicuna_10211143098_EOTest,vicuna,run_02,1,com.github.eirslett.maven.plugins.frontend.lib,6,0,100,7/114,0/44,0/0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_02_identical_5_vicuna_10211143098_EOTest,True
NPMInstaller,NPMInstaller_ESTest_run_03_identical_5_vicuna_10212753664_EOTest,vicuna,run_03,1,com.github.eirslett.maven.plugins.frontend.lib,6,0,100,7/114,0/44,0/0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_03_identical_5_vicuna_10212753664_EOTest,True
NPMInstaller,NPMInstaller_ESTest_run_01_identical_5_wizlm_1021153731_EOTest,wizlm,run_01,1,com.github.eirslett.maven.plugins.frontend.lib,6,0,100,7/114,0/44,0/0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_01_identical_5_wizlm_1021153731_EOTest,True
NPMInstaller,NPMInstaller_ESTest_run_02_identical_5_wizlm_10212089949_EOTest,wizlm,run_02,1,com.github.eirslett.maven.plugins.frontend.lib,6,0,100,7/114,0/44,0/0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_02_identical_5_wizlm_10212089949_EOTest,True
NPMInstaller,NPMInstaller_ESTest_run_03_identical_5_wizlm_1023140102_EOTest,wizlm,run_03,1,com.github.eirslett.maven.plugins.frontend.lib,6,0,100,7/114,0/44,0/0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_03_identical_5_wizlm_1023140102_EOTest,True
Parallel,NPMInstaller_ESTest_run_03_identical_5_wizlm_1023140102_EOTest,ocra,run_01,0,org.bytedeco.javacv,0,0,0,0,0,0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_03_identical_5_wizlm_1023140102_EOTest,False
Parallel,NPMInstaller_ESTest_run_03_identical_5_wizlm_1023140102_EOTest,ocra,run_02,0,org.bytedeco.javacv,0,0,0,0,0,0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_03_identical_5_wizlm_1023140102_EOTest,False
Parallel,NPMInstaller_ESTest_run_03_identical_5_wizlm_1023140102_EOTest,ocra,run_03,0,org.bytedeco.javacv,0,0,0,0,0,0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_03_identical_5_wizlm_1023140102_EOTest,False
Parallel,NPMInstaller_ESTest_run_03_identical_5_wizlm_1023140102_EOTest,mpt,run_01,0,org.bytedeco.javacv,0,0,0,0,0,0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.NPMInstaller_ESTest_run_03_identical_5_wizlm_1023140102_EOTest,False
Parallel,Parallel_ESTest_run_02_identical_5_mpt_748658292_EOTest,mpt,run_02,1,org.bytedeco.javacv,63,23,26,26/41,6/26,6/23,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.Parallel -DtargetTests=org.bytedeco.javacv.Parallel_ESTest_run_02_identical_5_mpt_748658292_EOTest,True
Parallel,Parallel_ESTest_run_02_identical_5_mpt_748658292_EOTest,mpt,run_03,0,org.bytedeco.javacv,0,0,0,0,0,0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.Parallel -DtargetTests=org.bytedeco.javacv.Parallel_ESTest_run_02_identical_5_mpt_748658292_EOTest,False
Parallel,Parallel_ESTest_run_01_identical_5_nous_7013429847_EOTest,nous,run_01,4,org.bytedeco.javacv,100,50,50,41/41,13/26,13/26,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.Parallel -DtargetTests=org.bytedeco.javacv.Parallel_ESTest_run_01_identical_5_nous_6912120413_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_01_identical_5_nous_732342861_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_01_identical_5_nous_743529223_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_01_identical_5_nous_7013429847_EOTest",True
Parallel,Parallel_ESTest_run_02_identical_5_nous_717063988_EOTest,nous,run_02,4,org.bytedeco.javacv,83,81,88,34/41,21/26,21/24,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.Parallel -DtargetTests=org.bytedeco.javacv.Parallel_ESTest_run_02_identical_5_nous_709209996_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_02_identical_5_nous_691815947_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_02_identical_5_nous_7414947630_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_02_identical_5_nous_717063988_EOTest",True
Parallel,Parallel_ESTest_run_03_identical_5_nous_6912983942_EOTest,nous,run_03,4,org.bytedeco.javacv,100,50,50,41/41,13/26,13/26,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.Parallel -DtargetTests=org.bytedeco.javacv.Parallel_ESTest_run_03_identical_5_nous_702974656_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_03_identical_5_nous_731170038_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_03_identical_5_nous_7111153319_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_03_identical_5_nous_6912983942_EOTest",True
Parallel,Parallel_ESTest_run_01_identical_5_vicuna_698935922_EOTest,vicuna,run_01,2,org.bytedeco.javacv,83,38,42,34/41,10/26,10/24,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.Parallel -DtargetTests=org.bytedeco.javacv.Parallel_ESTest_run_01_identical_5_vicuna_7112500589_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_01_identical_5_vicuna_698935922_EOTest",True
Parallel,Parallel_ESTest_run_02_identical_5_vicuna_69199794_EOTest,vicuna,run_02,1,org.bytedeco.javacv,68,23,26,28/41,6/26,6/23,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.Parallel -DtargetTests=org.bytedeco.javacv.Parallel_ESTest_run_02_identical_5_vicuna_69199794_EOTest,True
Parallel,Parallel_ESTest_run_03_identical_5_vicuna_737883685_EOTest,vicuna,run_03,2,org.bytedeco.javacv,98,38,38,40/41,10/26,10/26,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.Parallel -DtargetTests=org.bytedeco.javacv.Parallel_ESTest_run_03_identical_5_vicuna_6912519594_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_03_identical_5_vicuna_737883685_EOTest",True
Parallel,Parallel_ESTest_run_01_identical_5_wizlm_708881904_EOTest,wizlm,run_01,3,org.bytedeco.javacv,76,42,48,31/41,11/26,11/23,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.Parallel -DtargetTests=org.bytedeco.javacv.Parallel_ESTest_run_01_identical_5_wizlm_7212603642_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_01_identical_5_wizlm_694886226_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_01_identical_5_wizlm_708881904_EOTest",True
Parallel,Parallel_ESTest_run_02_identical_5_wizlm_7312515122_EOTest,wizlm,run_02,3,org.bytedeco.javacv,100,62,62,41/41,16/26,16/26,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.Parallel -DtargetTests=org.bytedeco.javacv.Parallel_ESTest_run_02_identical_5_wizlm_717403954_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_02_identical_5_wizlm_709142899_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_02_identical_5_wizlm_7312515122_EOTest",True
Parallel,Parallel_ESTest_run_03_identical_5_wizlm_712284820_EOTest,wizlm,run_03,2,org.bytedeco.javacv,83,50,54,34/41,13/26,13/24,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.Parallel -DtargetTests=org.bytedeco.javacv.Parallel_ESTest_run_03_identical_5_wizlm_703667283_EOTest,org.bytedeco.javacv.Parallel_ESTest_run_03_identical_5_wizlm_712284820_EOTest",True
PnpmInstaller,PnpmInstaller_ESTest_run_01_identical_5_ocra_1379075690_EOTest,ocra,run_01,2,com.github.eirslett.maven.plugins.frontend.lib,16,0,0,19/118,0/41,0/6,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_01_identical_5_ocra_14612198458_EOTest,com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_01_identical_5_ocra_1379075690_EOTest",True
PnpmInstaller,PnpmInstaller_ESTest_run_02_identical_5_ocra_13711978795_EOTest,ocra,run_02,2,com.github.eirslett.maven.plugins.frontend.lib,16,0,0,19/118,0/41,0/6,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_02_identical_5_ocra_1462171469_EOTest,com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_02_identical_5_ocra_13711978795_EOTest",True
PnpmInstaller,PnpmInstaller_ESTest_run_03_identical_5_ocra_1463536490_EOTest,ocra,run_03,1,com.github.eirslett.maven.plugins.frontend.lib,1,0,100,1/118,0/41,0/0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_03_identical_5_ocra_1463536490_EOTest,True
PnpmInstaller,PnpmInstaller_ESTest_run_01_identical_5_mpt_1347598321_EOTest,mpt,run_01,2,com.github.eirslett.maven.plugins.frontend.lib,41,27,69,48/118,11/41,11/16,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_01_identical_5_mpt_1462603323_EOTest,com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_01_identical_5_mpt_1347598321_EOTest",True
PnpmInstaller,PnpmInstaller_ESTest_run_02_identical_5_mpt_1464506108_EOTest,mpt,run_02,1,com.github.eirslett.maven.plugins.frontend.lib,1,0,100,1/118,0/41,0/0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_02_identical_5_mpt_1464506108_EOTest,True
PnpmInstaller,PnpmInstaller_ESTest_run_03_identical_5_mpt_14616286289_EOTest,mpt,run_03,2,com.github.eirslett.maven.plugins.frontend.lib,16,0,0,19/118,0/41,0/6,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_03_identical_5_mpt_1375480359_EOTest,com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_03_identical_5_mpt_14616286289_EOTest",True
PnpmInstaller,PnpmInstaller_ESTest_run_01_identical_5_nous_14315702265_EOTest,nous,run_01,1,com.github.eirslett.maven.plugins.frontend.lib,39,22,60,46/118,9/41,9/15,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_01_identical_5_nous_14315702265_EOTest,True
PnpmInstaller,PnpmInstaller_ESTest_run_02_identical_5_nous_1437186739_EOTest,nous,run_02,1,com.github.eirslett.maven.plugins.frontend.lib,39,22,60,46/118,9/41,9/15,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_02_identical_5_nous_1437186739_EOTest,True
PnpmInstaller,PnpmInstaller_ESTest_run_02_identical_5_nous_1437186739_EOTest,nous,run_03,0,com.github.eirslett.maven.plugins.frontend.lib,0,0,0,0,0,0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_02_identical_5_nous_1437186739_EOTest,False
PnpmInstaller,PnpmInstaller_ESTest_run_01_identical_5_vicuna_146835799_EOTest,vicuna,run_01,1,com.github.eirslett.maven.plugins.frontend.lib,1,0,100,1/118,0/41,0/0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_01_identical_5_vicuna_146835799_EOTest,True
PnpmInstaller,PnpmInstaller_ESTest_run_02_identical_5_vicuna_1464453154_EOTest,vicuna,run_02,2,com.github.eirslett.maven.plugins.frontend.lib,9,5,100,11/118,2/41,2/2,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_02_identical_5_vicuna_1323017775_EOTest,com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_02_identical_5_vicuna_1464453154_EOTest",True
PnpmInstaller,PnpmInstaller_ESTest_run_03_identical_5_vicuna_14614013813_EOTest,vicuna,run_03,1,com.github.eirslett.maven.plugins.frontend.lib,1,0,100,1/118,0/41,0/0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_03_identical_5_vicuna_14614013813_EOTest,True
PnpmInstaller,PnpmInstaller_ESTest_run_03_identical_5_vicuna_14614013813_EOTest,wizlm,run_01,0,com.github.eirslett.maven.plugins.frontend.lib,0,0,0,0,0,0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_03_identical_5_vicuna_14614013813_EOTest,False
PnpmInstaller,PnpmInstaller_ESTest_run_02_identical_5_wizlm_1362955618_EOTest,wizlm,run_02,1,com.github.eirslett.maven.plugins.frontend.lib,19,5,40,22/118,2/41,2/5,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_02_identical_5_wizlm_1362955618_EOTest,True
PnpmInstaller,PnpmInstaller_ESTest_run_03_identical_5_wizlm_13115145553_EOTest,wizlm,run_03,1,com.github.eirslett.maven.plugins.frontend.lib,12,7,75,14/118,3/41,3/4,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller -DtargetTests=com.github.eirslett.maven.plugins.frontend.lib.PnpmInstaller_ESTest_run_03_identical_5_wizlm_13115145553_EOTest,True
PropertiesProviderUtils,PropertiesProviderUtils_ESTest_run_01_identical_5_ocra_102403888_EOTest,ocra,run_01,1,org.jsmart.zerocode.core.utils,25,7,33,7/28,1/15,1/3,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.jsmart.zerocode.core.utils.PropertiesProviderUtils -DtargetTests=org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_01_identical_5_ocra_102403888_EOTest,True
PropertiesProviderUtils,PropertiesProviderUtils_ESTest_run_02_identical_5_ocra_101216294_EOTest,ocra,run_02,3,org.jsmart.zerocode.core.utils,25,7,33,7/28,1/15,1/3,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.jsmart.zerocode.core.utils.PropertiesProviderUtils -DtargetTests=org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_02_identical_5_ocra_156496889_EOTest,org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_02_identical_5_ocra_39460899_EOTest,org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_02_identical_5_ocra_101216294_EOTest",True
PropertiesProviderUtils,PropertiesProviderUtils_ESTest_run_03_identical_5_ocra_10227193_EOTest,ocra,run_03,1,org.jsmart.zerocode.core.utils,25,7,33,7/28,1/15,1/3,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.jsmart.zerocode.core.utils.PropertiesProviderUtils -DtargetTests=org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_03_identical_5_ocra_10227193_EOTest,True
PropertiesProviderUtils,PropertiesProviderUtils_ESTest_run_01_identical_5_mpt_76248901_EOTest,mpt,run_01,5,org.jsmart.zerocode.core.utils,29,13,50,8/28,2/15,2/4,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.jsmart.zerocode.core.utils.PropertiesProviderUtils -DtargetTests=org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_01_identical_5_mpt_37960638_EOTest,org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_01_identical_5_mpt_53506338_EOTest,org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_01_identical_5_mpt_101703900_EOTest,org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_01_identical_5_mpt_68405235_EOTest,org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_01_identical_5_mpt_76248901_EOTest",True
PropertiesProviderUtils,PropertiesProviderUtils_ESTest_run_02_identical_5_mpt_109703032_EOTest,mpt,run_02,3,org.jsmart.zerocode.core.utils,29,13,50,8/28,2/15,2/4,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.jsmart.zerocode.core.utils.PropertiesProviderUtils -DtargetTests=org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_02_identical_5_mpt_59339470_EOTest,org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_02_identical_5_mpt_313586893_EOTest,org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_02_identical_5_mpt_109703032_EOTest",True
PropertiesProviderUtils,PropertiesProviderUtils_ESTest_run_03_identical_5_mpt_314413740_EOTest,mpt,run_03,2,org.jsmart.zerocode.core.utils,57,20,50,16/28,3/15,3/6,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.jsmart.zerocode.core.utils.PropertiesProviderUtils -DtargetTests=org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_03_identical_5_mpt_21432494_EOTest,org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_03_identical_5_mpt_314413740_EOTest",True
PropertiesProviderUtils,PropertiesProviderUtils_ESTest_run_01_identical_5_nous_716617191_EOTest,nous,run_01,1,org.jsmart.zerocode.core.utils,7,0,0,2/28,0/15,0/1,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.jsmart.zerocode.core.utils.PropertiesProviderUtils -DtargetTests=org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_01_identical_5_nous_716617191_EOTest,True
PropertiesProviderUtils,PropertiesProviderUtils_ESTest_run_02_identical_5_nous_75898256_EOTest,nous,run_02,3,org.jsmart.zerocode.core.utils,57,20,50,16/28,3/15,3/6,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.jsmart.zerocode.core.utils.PropertiesProviderUtils -DtargetTests=org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_02_identical_5_nous_210118694_EOTest,org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_02_identical_5_nous_88837121_EOTest,org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_02_identical_5_nous_75898256_EOTest",True
PropertiesProviderUtils,PropertiesProviderUtils_ESTest_run_03_identical_5_nous_210446702_EOTest,nous,run_03,2,org.jsmart.zerocode.core.utils,57,13,33,16/28,2/15,2/6,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.jsmart.zerocode.core.utils.PropertiesProviderUtils -DtargetTests=org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_03_identical_5_nous_7215677_EOTest,org.jsmart.zerocode.core.utils.PropertiesProviderUtils_ESTest_run_03_identical_5_nous_210446702_EOTest",True
