class,model,eo_line_coverage_score,eo_mutation_coverage_score,eo_test_strength_score,,,,,,,,,,,eo_mutation_coverage,eo_test_strength,eo_line_coverage,,,,,,
ZeroCodeAssertionsProcessor,wizlm,0.00,0.00,0.00,,,,,,,,,,,0/44,0/0,7/114,0,0,7,114,0,44
ZerocodeCorrelationshipLogger,mpt,36.21,6.35,16.93,,,,,,,,,,,0/44,0/0,7/114,0,0,7,114,0,44
ZerocodeCorrelationshipLogger,nous,83.91,25.40,31.56,,,,,,,,,,,0/44,0/0,7/114,0,0,7,114,0,44
ZerocodeCorrelationshipLogger,ocra,1.15,1.59,16.67,,,,,,,,,,,0/44,0/0,7/114,0,0,7,114,0,44
ZerocodeCorrelationshipLogger,vicuna,0.00,0.00,0.00,,,,,,,,,,,0/44,0/0,7/114,0,0,7,114,0,44
ZerocodeCorrelationshipLogger,wizlm,52.87,28.57,45.63,,,,,,,,,,,0,0,0,0,0,0,0,0,0
NodeInstaller,EvoSuite,53.04%,56.90%,100.00%,,,,,,,,,,,0,0,0,0,0,0,0,0,0
NPMInstaller,EvoSuite,46.49%,34.09%,71.43%,,,,,,,,,,,0,0,0,0,0,0,0,0,0
PnpmInstaller,EvoSuite,41.53%,29.27%,70.59%,,,,,,,,,,,0,0,0,0,0,0,0,0,0
CacheHandler,EvoSuite,51.52%,27.78%,71.43%,,,,,,,,,,,6/26,6/23,26/41,6,23,26,41,6,26
ResolutionCache,EvoSuite,18.92%,0.00%,0.00%,,,,,,,,,,,0,0,0,0,0,0,0,0,0
BaseSettings,EvoSuite,100.00%,53.33%,53.33%,,,,,,,,,,,13/26,13/26,41/41,13,26,41,41,13,26
Parallel,EvoSuite,100.00%,100.00%,100.00%,,,,,,,,,,,21/26,21/24,34/41,21,24,34,41,21,26
Seekable,EvoSuite,0,0,0,,,,,,,,,,,13/26,13/26,41/41,13,26,41,41,13,26
SeekableByteArrayOutputStream,EvoSuite,100.00%,93.75%,93.75%,,,,,,,,,,,10/26,10/24,34/41,10,24,34,41,10,26
ZeroCodeAssertionsProcessor,EvoSuite,0,0,0,,,,,,,,,,,6/26,6/23,28/41,6,23,28,41,6,26
ZerocodeCorrelationshipLogger,EvoSuite,91.38%,52.38%,55.00%,,,,,,,,,,,10/26,10/26,40/41,10,26,40,41,10,26
PropertiesProviderUtils,EvoSuite,57.14%,26.67%,66.67%,,,,,,,,,,,11/26,11/23,31/41,11,23,31,41,11,26
,,,,,,,,,,,,,,,16/26,16/26,41/41,16,26,41,41,16,26
,,,,,,,,,,,,,,,13/26,13/24,34/41,13,24,34,41,13,26
,,,,,,,,,,,,,,,0/41,0/6,19/118,0,6,19,118,0,41
,,,,,,,,,,,,,,,0/41,0/6,19/118,0,6,19,118,0,41
,,,,,,,,,,,,,,,0/41,0/0,1/118,0,0,1,118,0,41
,,,,,,,,,,,,,,,11/41,11/16,48/118,11,16,48,118,11,41
,,,,,,,,,,,,,,,0/41,0/0,1/118,0,0,1,118,0,41
,,,,,,,,,,,,,,,0/41,0/6,19/118,0,6,19,118,0,41
,,,,,,,,,,,,,,,9/41,9/15,46/118,9,15,46,118,9,41
,,,,,,,,,,,,,,,9/41,9/15,46/118,9,15,46,118,9,41
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0/41,0/0,1/118,0,0,1,118,0,41
,,,,,,,,,,,,,,,2/41,2/2,11/118,2,2,11,118,2,41
,,,,,,,,,,,,,,,0/41,0/0,1/118,0,0,1,118,0,41
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,2/41,2/5,22/118,2,5,22,118,2,41
,,,,,,,,,,,,,,,3/41,3/4,14/118,3,4,14,118,3,41
,,,,,,,,,,,,,,,1/15,1/3,7/28,1,3,7,28,1,15
,,,,,,,,,,,,,,,1/15,1/3,7/28,1,3,7,28,1,15
,,,,,,,,,,,,,,,1/15,1/3,7/28,1,3,7,28,1,15
,,,,,,,,,,,,,,,2/15,2/4,8/28,2,4,8,28,2,15
,,,,,,,,,,,,,,,2/15,2/4,8/28,2,4,8,28,2,15
,,,,,,,,,,,,,,,3/15,3/6,16/28,3,6,16,28,3,15
,,,,,,,,,,,,,,,0/15,0/1,2/28,0,1,2,28,0,15
,,,,,,,,,,,,,,,3/15,3/6,16/28,3,6,16,28,3,15
,,,,,,,,,,,,,,,2/15,2/6,16/28,2,6,16,28,2,15
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,1/15,1/6,16/28,1,6,16,28,1,15
,,,,,,,,,,,,,,,1/15,1/4,8/28,1,4,8,28,1,15
,,,,,,,,,,,,,,,2/15,2/6,16/28,2,6,16,28,2,15
,,,,,,,,,,,,,,,0/37,0/3,14/74,0,3,14,74,0,37
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
